[10341, 823.0]	"glass"
[10341, 840.0]	"already"
[10341, 874.0]	"rice"
[10341, 931.0]	"late"
[10341, 997.0]	"stopped"
[10342, 10448.0]	"were"
[10342, 120.0]	"adults"
[10342, 120.0]	"individual"
[10342, 130.0]	"information"
[10342, 130.0]	"spoon"
[10342, 137.0]	"corporate"
[10342, 137.0]	"screen"
[10342, 161.0]	"zucchini"
[10342, 178.0]	"shower"
[10342, 185.0]	"app"
[10342, 185.0]	"enter"
[10342, 250.0]	"bros"
[10342, 264.0]	"catch"
[10342, 264.0]	"drop"
[10342, 2701.0]	"last"
[10342, 284.0]	"staying"
[10342, 472.0]	"stayed"
[10342, 497.0]	"finish"
[10342, 520.0]	"chance"
[10342, 778.0]	"gone"
[10342, 912.0]	"under"
[10343, 103.0]	"conference"
[10343, 103.0]	"majority"
[10343, 134.0]	"afford"
[10343, 134.0]	"finishing"
[10343, 134.0]	"respect"
[10343, 141.0]	"alternative"
[10343, 141.0]	"starting"
[10343, 1488.0]	"doesnt"
[10343, 151.0]	"nowhere"
[10343, 165.0]	"parmesan"
[10343, 1788.0]	"used"
[10343, 206.0]	"points"
[10343, 2094.0]	"actually"
[10343, 2155.0]	"anything"
[10343, 244.0]	"cons"
[10343, 244.0]	"pictures"
[10343, 2449.0]	"long"
[10343, 518.0]	"loud"
[10343, 587.0]	"middle"
[10343, 811.0]	"roll"
[10343, 862.0]	"doing"
[10343, 879.0]	"mean"
[10343, 955.0]	"looks"
[10344, 100.0]	"em"
[10344, 100.0]	"energy"
[10344, 100.0]	"grass"
[10344, 117.0]	"cases"
[10344, 117.0]	"provolone"
[10344, 124.0]	"prime"
[10344, 124.0]	"sprouts"
[10344, 1433.0]	"hard"
[10344, 148.0]	"paint"
[10344, 155.0]	"chowder"
[10344, 162.0]	"remembered"
[10344, 169.0]	"safe"
[10344, 169.0]	"sales"
[10344, 172.0]	"corned"
[10344, 179.0]	"b"
[10344, 2044.0]	"stars"
[10344, 2096.0]	"taste"
[10344, 2208.0]	"id"
[10344, 2214.0]	"probably"
[10344, 2393.0]	"sandwich"
[10344, 265.0]	"comment"
[10344, 289.0]	"rate"
[10344, 372.0]	"office"
[10344, 3915.0]	"way"
[10344, 4080.0]	"think"
[10344, 430.0]	"rating"
[10344, 448.0]	"stick"
[10344, 4540.0]	"people"
[10344, 500.0]	"charge"
[10344, 500.0]	"minute"
[10344, 907.0]	"mind"
[10345, 1024.0]	"brought"
[10345, 107.0]	"direction"
[10345, 107.0]	"father"
[10345, 107.0]	"groupon"
[10345, 107.0]	"stadium"
[10345, 121.0]	"preferred"
[10345, 121.0]	"steep"
[10345, 138.0]	"presented"
[10345, 152.0]	"entrance"
[10345, 159.0]	"rave"
[10345, 1643.0]	"review"
[10345, 190.0]	"greens"
[10345, 197.0]	"booth"
[10345, 242.0]	"pros"
[10345, 256.0]	"station"
[10345, 304.0]	"missing"
[10345, 311.0]	"smell"
[10345, 321.0]	"greek"
[10345, 335.0]	"funny"
[10345, 411.0]	"establishment"
[10345, 4122.0]	"going"
[10345, 428.0]	"limited"
[10345, 584.0]	"grill"
[10345, 588.0]	"piece"
[10345, 595.0]	"case"
[10345, 611.0]	"note"
[10345, 643.0]	"closed"
[10345, 6606.0]	"dont"
[10345, 954.0]	"eaten"
[10345, 970.0]	"saw"
[10346, 104.0]	"target"
[10346, 104.0]	"tax"
[10346, 104.0]	"thus"
[10346, 104.0]	"understanding"
[10346, 111.0]	"dance"
[10346, 111.0]	"played"
[10346, 13329.0]	"at"
[10346, 135.0]	"specifically"
[10346, 135.0]	"tips"
[10346, 149.0]	"andor"
[10346, 1517.0]	"fish"
[10346, 1794.0]	"meat"
[10346, 180.0]	"gravy"
[10346, 222.0]	"process"
[10346, 274.0]	"pool"
[10346, 284.0]	"diners"
[10346, 288.0]	"bun"
[10346, 3395.0]	"down"
[10346, 3677.0]	"how"
[10346, 391.0]	"chips"
[10346, 399.0]	"cheaper"
[10346, 402.0]	"nearby"
[10346, 4435.0]	"restaurant"
[10346, 488.0]	"serving"
[10346, 5103.0]	"much"
[10346, 534.0]	"cup"
[10346, 561.0]	"fairly"
[10346, 565.0]	"standard"
[10346, 596.0]	"talk"
[10346, 661.0]	"ready"
[10346, 666.0]	"based"
[10346, 872.0]	"anyone"
[10347, 10187.0]	"just"
[10347, 125.0]	"july"
[10347, 1315.0]	"hours"
[10347, 1334.0]	"fried"
[10347, 139.0]	"fully"
[10347, 139.0]	"tortilla"
[10347, 146.0]	"mainly"
[10347, 146.0]	"practically"
[10347, 146.0]	"prepare"
[10347, 1477.0]	"three"
[10347, 160.0]	"final"
[10347, 177.0]	"oakland"
[10347, 1842.0]	"ill"
[10347, 19408.0]	"was"
[10347, 219.0]	"pricing"
[10347, 219.0]	"wants"
[10347, 233.0]	"allowed"
[10347, 271.0]	"guests"
[10347, 271.0]	"overly"
[10347, 299.0]	"club"
[10347, 323.0]	"cards"
[10347, 330.0]	"rush"
[10347, 337.0]	"odd"
[10347, 347.0]	"bag"
[10347, 469.0]	"chef"
[10347, 493.0]	"yeah"
[10347, 5058.0]	"them"
[10347, 567.0]	"added"
[10347, 619.0]	"giant"
[10347, 619.0]	"honestly"
[10347, 730.0]	"available"
[10347, 806.0]	"today"
[10347, 833.0]	"evening"
[10347, 8703.0]	"when"
[10348, 101.0]	"degree"
[10348, 101.0]	"suits"
[10348, 101.0]	"timely"
[10348, 115.0]	"narrow"
[10348, 1266.0]	"started"
[10348, 129.0]	"pour"
[10348, 136.0]	"allegheny"
[10348, 143.0]	"showing"
[10348, 1539.0]	"soup"
[10348, 157.0]	"character"
[10348, 157.0]	"fry"
[10348, 157.0]	"updated"
[10348, 171.0]	"cabbage"
[10348, 1723.0]	"having"
[10348, 181.0]	"apartment"
[10348, 181.0]	"writing"
[10348, 188.0]	"heading"
[10348, 1956.0]	"location"
[10348, 209.0]	"waitstaff"
[10348, 2561.0]	"salad"
[10348, 2563.0]	"fries"
[10348, 2921.0]	"times"
[10348, 338.0]	"hey"
[10348, 3429.0]	"experience"
[10348, 359.0]	"games"
[10348, 3759.0]	"any"
[10348, 401.0]	"n"
[10348, 491.0]	"tastes"
[10348, 571.0]	"number"
[10348, 634.0]	"simply"
[10348, 635.0]	"mine"
[10348, 638.0]	"needs"
[10348, 7741.0]	"back"
[10348, 847.0]	"shrimp"
[10348, 912.0]	"plate"
[10349, 10001.0]	"we"
[10349, 10488.0]	"like"
[10349, 1226.0]	"fact"
[10349, 1405.0]	"dining"
[10349, 1694.0]	"almost"
[10349, 192.0]	"additional"
